stars,forks,watchers,issues,age_days,commits,popularity_score
50,21,50,29,2920,100,36.300000000000004
50,9,50,2,3428,100,36.599999999999994
50,15,50,5,5796,100,37.5
50,18,50,2,1952,100,38.4
50,1,50,0,426,100,35.2
50,15,50,5,650,100,37.5
50,9,50,2,2384,100,36.599999999999994
50,6,50,23,2169,100,33.900000000000006
50,13,50,29,3091,100,34.7
50,3,50,0,166,100,35.6
50,16,50,1,4470,100,38.1
50,17,50,0,3487,100,38.4
50,14,50,5,4297,100,37.3
50,3,50,1,1052,100,35.5
50,4,50,1,1399,100,35.699999999999996
50,11,50,1,413,100,37.1
50,12,50,18,332,100,35.6
50,4,50,0,1056,100,35.8
50,4,50,0,1111,100,35.8
50,2,50,0,1659,100,35.4
50,9,50,11,4276,100,35.699999999999996
50,6,50,1,1324,100,36.1
50,1,50,1,1108,100,35.1
50,0,50,3,255,100,34.7
50,20,50,2,2731,100,38.8
50,2,50,1,133,100,35.3
50,15,50,29,1153,100,35.1
50,9,50,13,506,100,35.5
50,52,50,0,2806,100,45.4
50,85,50,15,902,100,50.5
50,7,50,2,550,100,36.199999999999996
50,4,50,1,1329,100,35.699999999999996
50,3,50,0,112,100,35.6
50,24,50,2,329,100,39.599999999999994
50,2,50,3,327,100,35.1
50,24,50,25,5043,100,37.3
50,16,50,2,689,100,38.0
50,3,50,2,1505,100,35.4
50,44,50,9,1392,100,42.9
50,8,50,1,1672,100,36.5
50,11,50,11,1513,100,36.1
50,9,50,22,2497,100,34.599999999999994
50,1,50,1,2583,100,35.1
50,9,50,0,230,100,36.8
50,6,50,0,77,100,36.2
50,30,50,5,3255,100,40.5
50,3,50,2,3068,100,35.4
50,7,50,6,3997,100,35.8
50,24,50,0,3886,100,39.8
50,19,50,13,3894,100,37.5
50,29,50,9,3207,100,39.9
50,41,50,4,3260,100,42.800000000000004
50,3,50,6,3139,100,35.0
50,37,50,0,3018,100,42.4
50,7,50,0,3012,100,36.4
50,74,50,0,2994,100,49.8
50,9,50,4,2969,100,36.4
50,9,50,3,3099,100,36.5
50,18,50,0,3229,100,38.6
50,47,50,4,3667,100,44.0
50,18,50,1,3682,100,38.5
50,13,50,0,3628,100,37.6
50,13,50,6,3745,100,37.0
50,5,50,1,3738,100,35.9
50,8,50,1,3814,100,36.5
50,3,50,0,3594,100,35.6
50,5,50,1,4058,100,35.9
50,13,50,0,3781,100,37.6
50,31,50,1,3647,100,41.1
50,5,50,5,3392,100,35.5
50,14,50,5,5026,100,37.3
50,70,50,2,4789,100,48.8
50,16,50,7,4776,100,37.5
50,9,50,4,4424,100,36.4
50,21,50,3,4443,100,38.900000000000006
50,10,50,2,4443,100,36.8
50,25,50,7,4413,100,39.3
50,10,50,0,4316,100,37.0
50,5,50,6,4304,100,35.4
50,28,50,3,4583,100,40.300000000000004
50,7,50,85,4619,100,27.9
50,13,50,1,5435,100,37.5
50,19,50,1,5313,100,38.699999999999996
50,10,50,1,5299,100,36.9
50,4,50,10,5272,100,34.8
50,14,50,8,5214,100,37.0
50,9,50,3,5167,100,36.5
50,27,50,0,5342,100,40.4
50,37,50,23,5326,100,40.1
50,9,50,0,5122,100,36.8
50,2,50,2,4182,100,35.199999999999996
50,26,50,6,4390,100,39.6
50,5,50,10,4163,100,35.0
50,6,50,0,4175,100,36.2
50,3,50,0,2638,100,35.6
50,9,50,2,2576,100,36.599999999999994
50,17,50,0,2669,100,38.4
50,22,50,0,2676,100,39.4
50,5,50,1,2692,100,35.9
50,8,50,2,2592,100,36.4
50,24,50,17,2601,100,38.099999999999994
50,39,50,4,2495,100,42.4
